tecnologia,tecnologiaClasse,cultura,culturaClasse,solo,regiao,uf,escala
manejo,solo,?,?,?,NE,MA,pequena
irrigacao,'engenharia agricola',manga,frutiferas,?,NE,BA,pequena
'adubacao organica',solo,?,?,?,S,RS,pequena
manejo,solo,mandioca,'base alimentar e commodities',?,SE,MG,pequena
?,?,melao,frutiferas,?,N,TO,pequena
?,?,abacaxi,frutiferas,?,N,PA,pequena
manejo,solo,banana,frutiferas,?,SE,MG,pequena
pos-colheita,'engenharia agricola',?,?,?,SE,MG,pequena
adubacao,solo,?,?,neossolo,NE,PI,pequena
?,?,cana-de-acucar,'base alimentar e commodities',?,SE,MG,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PB,pequena
irrigacao,planta,abacaxi,frutiferas,?,CO,MS,pequena
adubacao,planta,banana,frutiferas,?,S,PR,pequena
'manejo de poda',planta,uva,frutiferas,?,SE,SP,pequena
irrigacao,'engenharia agricola',feijao,'base alimentar e commodities',?,N,RR,pequena
irrigacao,planta,?,?,?,NE,PB,pequena
'sistema convencional','sistemas de producao',milho,'base alimentar e commodities',argissolo,N,AC,pequena
irrigacao,planta,tomate,olericulturas,?,SE,MG,pequena
irrigacao,solo,pimentao,olericulturas,?,N,RR,pequena
irrigacao,'engenharia agricola',?,?,?,NE,MA,pequena
'manejo de irrigacao',solo,mandioca,'base alimentar e commodities',?,SE,MG,pequena
'manejo do ambiente',planta,pimentao,olericulturas,?,N,AM,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PB,pequena
irrigacao,'engenharia agricola',mamona,extrativas,latossolo,NE,BA,pequena
'manejo organico',solo,?,?,?,NE,SE,pequena
irrigacao,'engenharia agricola',?,?,?,CO,MS,pequena
'manejo do solo',?,?,?,?,SE,MG,pequena
?,?,melao,frutiferas,argissolo,SE,MG,pequena
npk,planta,?,?,?,NE,BA,pequena
irrigacao,'engenharia agricola',pimenta,olericulturas,?,N,AM,pequena
genotipo,'melhoramento genetico',pimenta,olericulturas,?,N,AC,pequena
adubacao,solo,cenoura,olericulturas,?,NE,CE,pequena
irrigacao,'engenharia agricola',arroz,'base alimentar e commodities',?,S,RS,pequena
irrigacao,planta,limao,'base alimentar e commodities',?,CO,MT,pequena
manejo,solo,melancia,frutiferas,?,CO,GO,pequena
irrigacao,solo,goiaba,frutiferas,?,NE,PB,pequena
irrigacao,planta,cevada,extrativas,?,N,AM,pequena
adubacao,solo,milho,'base alimentar e commodities',?,NE,MA,pequena
manejo,solo,?,?,?,NE,BA,pequena
irrigacao,planta,?,?,?,SE,MG,pequena
?,?,cana-de-acucar,'base alimentar e commodities',?,SE,SP,pequena
irrigacao,solo,tomate,olericulturas,?,SE,ES,pequena
?,?,uva,frutiferas,?,N,PA,pequena
irrigacao,planta,?,?,latossolo,NE,PE,pequena
manejo,solo,?,?,?,SE,MG,pequena
manejo,solo,manga,frutiferas,?,NE,BA,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PB,pequena
irrigacao,'engenharia agricola',?,?,latossolo,NE,PB,pequena
adubacao,planta,milho,'base alimentar e commodities',?,NE,MA,pequena
fertilizante,solo,milho,'base alimentar e commodities',?,CO,DF,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,NE,BA,pequena
manejo,solo,nogueira,frutiferas,?,NE,PE,pequena
?,?,mandioca,'base alimentar e commodities',?,N,AM,pequena
irrigacao,solo,banana,frutiferas,?,NE,PE,pequena
irrigacao,solo,?,?,?,SE,MG,pequena
manejo,solo,mandioca,'base alimentar e commodities',?,N,AC,pequena
irrigacao,'engenharia agricola',goiaba,frutiferas,?,NE,PE,pequena
irrigacao,'engenharia agricola',?,?,?,SE,MG,pequena
irrigacao,planta,?,?,?,SE,MG,pequena
irrigacao,planta,?,?,argissolo,NE,MA,pequena
irrigacao,solo,pimenta,olericulturas,?,N,AM,pequena
irrigacao,planta,banana,frutiferas,?,CO,MT,pequena
?,?,seringueira,extrativas,?,SE,MG,pequena
adubacao,planta,cenoura,olericulturas,?,NE,CE,pequena
irrigacao,'engenharia agricola',?,?,?,CO,MS,pequena
?,?,pimenta,olericulturas,?,SE,ES,pequena
irrigacao,planta,trigo,'base alimentar e commodities',?,SE,SP,pequena
'irrigacao por microaspersao','engenharia agricola',banana,frutiferas,?,NE,MA,pequena
irrigacao,'engenharia agricola',arroz,'base alimentar e commodities',?,CO,MS,pequena
?,?,nogueira,frutiferas,?,NE,BA,pequena
adubacao,planta,?,?,latossolo,S,RS,pequena
'irrigacao por aspersao','engenharia agricola',cebola,olericulturas,?,NE,PE,pequena
irrigacao,solo,manga,frutiferas,?,NE,PE,pequena
adubacao,solo,milho,'base alimentar e commodities',latossolo,SE,MG,pequena
manejo,solo,?,?,latossolo,N,PA,pequena
aracao,solo,?,?,?,N,AM,pequena
adubacao,planta,?,?,argissolo,NE,BA,pequena
manejo,solo,?,?,?,CO,MT,pequena
fertilizante,planta,?,?,?,S,RS,pequena
manejo,solo,?,?,?,S,RS,pequena
irrigacao,planta,feijao,'base alimentar e commodities',?,N,RR,pequena
irrigacao,'engenharia agricola',tomate,olericulturas,?,SE,MG,pequena
irrigacao,planta,?,?,?,NE,MA,pequena
irrigacao,solo,trigo,'base alimentar e commodities',?,SE,SP,pequena
irrigacao,planta,goiaba,frutiferas,?,NE,PE,pequena
irrigacao,'engenharia agricola',arroz,'base alimentar e commodities',?,NE,PB,pequena
'melhoramento genetico','melhoramento genetico',feijao,'base alimentar e commodities',?,NE,MA,pequena
irrigacao,'engenharia agricola',banana,frutiferas,?,CO,MT,pequena
fertilizante,solo,?,?,?,N,AM,pequena
adubacao,planta,milho,'base alimentar e commodities',?,N,PA,pequena
'manejo da cultura',planta,arroz,'base alimentar e commodities',?,SE,SP,pequena
manejo,solo,sorgo,'base alimentar e commodities',?,N,PA,pequena
'irrigacao por gotejamento','engenharia agricola',melancia,frutiferas,?,NE,PI,pequena
'manejo organico',solo,?,?,?,CO,GO,pequena
irrigacao,'engenharia agricola',abacaxi,frutiferas,?,NE,MA,pequena
manejo,solo,uva,frutiferas,?,NE,BA,pequena
'plantio direto','sistemas de producao',sorgo,'base alimentar e commodities',?,N,RO,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,NE,BA,pequena
aracao,solo,milho,'base alimentar e commodities',latossolo,N,RO,pequena
irrigacao,'engenharia agricola',abacate,frutiferas,?,NE,PB,pequena
manejo,solo,cafe,'base alimentar e commodities',?,N,AC,pequena
irrigacao,'engenharia agricola',banana,frutiferas,latossolo,NE,MA,pequena
irrigacao,'engenharia agricola',arroz,'base alimentar e commodities',?,NE,BA,pequena
irrigacao,'engenharia agricola',goiaba,frutiferas,?,NE,PE,pequena
irrigacao,'engenharia agricola',?,?,argissolo,NE,MA,pequena
'plantio direto','sistemas de producao',milho,'base alimentar e commodities',?,N,AC,pequena
irrigacao,'engenharia agricola',tomate,olericulturas,?,SE,MG,pequena
irrigacao,planta,arroz,'base alimentar e commodities',?,NE,MA,pequena
manejo,solo,nogueira,frutiferas,?,N,AC,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PI,pequena
adubacao,planta,mamona,extrativas,latossolo,SE,MG,pequena
adubacao,planta,arroz,'base alimentar e commodities',?,S,RS,pequena
fertilizante,solo,milho,'base alimentar e commodities',latossolo,NE,BA,pequena
irrigacao,'engenharia agricola',laranja,'base alimentar e commodities',?,CO,MT,pequena
adubacao,planta,mamona,extrativas,?,NE,SE,pequena
?,?,uva,frutiferas,?,SE,MG,pequena
'manejo de irrigacao','engenharia agricola',abacaxi,frutiferas,?,NE,PB,pequena
irrigacao,planta,goiaba,frutiferas,?,NE,PB,pequena
'manejo de irrigacao',planta,limao,'base alimentar e commodities',?,NE,PI,pequena
adubacao,planta,soja,'base alimentar e commodities',?,NE,BA,pequena
irrigacao,solo,uva,frutiferas,?,SE,MG,pequena
'irrigacao por inundacao','engenharia agricola',arroz,'base alimentar e commodities',?,NE,PB,pequena
'melhoramento genetico','melhoramento genetico',feijao,'base alimentar e commodities',?,SE,SP,pequena
irrigacao,'engenharia agricola',?,?,?,SE,SP,pequena
irrigacao,'engenharia agricola',milho,'base alimentar e commodities',?,SE,MG,pequena
adubacao,planta,abacaxi,frutiferas,?,NE,BA,pequena
irrigacao,'engenharia agricola',?,?,?,SE,RJ,pequena
irrigacao,'engenharia agricola',banana,frutiferas,?,NE,BA,pequena
adubacao,solo,arroz,'base alimentar e commodities',?,CO,MT,pequena
?,?,pimenta,olericulturas,?,SE,ES,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,NE,PB,pequena
manejo,solo,arroz,'base alimentar e commodities',?,N,AM,pequena
adubacao,planta,arroz,'base alimentar e commodities',?,S,RS,pequena
?,?,melao,frutiferas,?,N,PA,pequena
'agricultura de precisao','agricultura de precisao',?,?,latossolo,NE,PE,pequena
irrigacao,'engenharia agricola',?,?,?,NE,MA,pequena
irrigacao,'engenharia agricola',feijao,'base alimentar e commodities',?,NE,BA,pequena
irrigacao,'engenharia agricola',tomate,olericulturas,?,SE,ES,pequena
adubacao,planta,arroz,'base alimentar e commodities',?,N,PA,pequena
irrigacao,'engenharia agricola',banana,frutiferas,?,SE,MG,pequena
manejo,solo,melao,frutiferas,?,NE,MA,pequena
manejo,solo,?,?,latossolo,NE,PE,pequena
irrigacao,planta,pitanga,frutiferas,?,NE,PE,pequena
irrigacao,'engenharia agricola',?,?,latossolo,NE,PB,pequena
manejo,solo,soja,'base alimentar e commodities',?,N,PA,pequena
irrigacao,'engenharia agricola',abacate,frutiferas,?,NE,PE,pequena
manejo,solo,?,?,latossolo,NE,PE,pequena
?,?,manga,frutiferas,?,SE,MG,pequena
irrigacao,'engenharia agricola',banana,frutiferas,?,NE,PB,pequena
irrigacao,'engenharia agricola',milho,'base alimentar e commodities',?,NE,PI,pequena
'plantio direto',solo,soja,'base alimentar e commodities',?,N,PA,pequena
manejo,solo,pimentao,olericulturas,?,N,AM,pequena
manejo,solo,pessego,frutiferas,?,NE,BA,pequena
irrigacao,'engenharia agricola',melancia,frutiferas,?,NE,PB,pequena
?,?,pimenta,olericulturas,?,N,AC,pequena
aracao,solo,feijao,'base alimentar e commodities',latossolo,N,RO,pequena
irrigacao,solo,?,?,?,SE,MG,pequena
manejo,solo,mandioca,'base alimentar e commodities',?,SE,MG,pequena
irrigacao,planta,?,?,?,NE,CE,pequena
irrigacao,solo,cana-de-acucar,'base alimentar e commodities',?,NE,PE,pequena
adubacao,planta,milho,'base alimentar e commodities',?,NE,CE,pequena
'manejo nos cultivos',solo,melao,frutiferas,?,SE,SP,pequena
?,?,milho,'base alimentar e commodities',?,SE,MG,pequena
'plantio direto',solo,soja,'base alimentar e commodities',?,CO,MS,pequena
irrigacao,'engenharia agricola',mandioca,'base alimentar e commodities',?,NE,PE,pequena
?,?,?,?,latossolo,CO,GO,pequena
irrigacao,planta,melancia,frutiferas,?,NE,MA,pequena
adubacao,planta,nogueira,frutiferas,?,NE,BA,pequena
irrigacao,'engenharia agricola',cafe,'base alimentar e commodities',?,SE,MG,pequena
irrigacao,'engenharia agricola',cacau,extrativas,?,NE,CE,pequena
irrigacao,planta,cana-de-acucar,'base alimentar e commodities',?,SE,MG,pequena
adubacao,solo,?,?,?,NE,BA,pequena
irrigacao,'engenharia agricola',laranja,'base alimentar e commodities',?,NE,BA,pequena
irrigacao,planta,abacate,frutiferas,?,NE,PB,pequena
genotipo,'melhoramento genetico',cebola,olericulturas,?,S,PR,pequena
biofertilizante,planta,melao,frutiferas,?,SE,MG,pequena
'agricultura de precisao',planta,maca,frutiferas,?,S,RS,pequena
?,?,nogueira,frutiferas,?,NE,MA,pequena
irrigacao,planta,laranja,'base alimentar e commodities',?,CO,MT,pequena
adubacao,solo,?,?,?,S,SC,pequena
manejo,solo,?,?,?,NE,BA,pequena
irrigacao,planta,uva,frutiferas,?,NE,BA,pequena
'variabilidade genetica','melhoramento genetico',arroz,'base alimentar e commodities',?,SE,MG,pequena
irrigacao,'engenharia agricola',?,?,?,NE,MA,pequena
'manejo de irrigacao',solo,abacaxi,frutiferas,?,NE,PB,pequena
'manejo de irrigacao',solo,?,?,?,SE,RJ,pequena
irrigacao,planta,feijao,'base alimentar e commodities',?,N,RR,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,NE,BA,pequena
fertilizante,planta,milho,'base alimentar e commodities',?,CO,DF,pequena
?,?,pimenta,olericulturas,?,N,AC,pequena
manejo,solo,?,?,?,N,AM,pequena
irrigacao,'engenharia agricola',pimenta,olericulturas,?,N,AM,pequena
irrigacao,'engenharia agricola',abacaxi,frutiferas,?,CO,MS,pequena
manejo,solo,banana,frutiferas,?,NE,BA,pequena
irrigacao,solo,melancia,frutiferas,?,NE,PE,pequena
manejo,solo,uva,frutiferas,?,NE,BA,pequena
irrigacao,'engenharia agricola',arroz,'base alimentar e commodities',?,S,RS,pequena
irrigacao,'engenharia agricola',feijao,'base alimentar e commodities',?,NE,BA,pequena
'manejo dos recursos hidricos',geotecnologias,?,?,?,SE,MG,pequena
manejo,solo,pimentao,olericulturas,argissolo,SE,MG,pequena
?,?,soja,'base alimentar e commodities',?,CO,MT,pequena
irrigacao,planta,?,?,?,NE,CE,pequena
irrigacao,'engenharia agricola',algodao,'base alimentar e commodities',?,SE,RJ,pequena
adubacao,planta,feijao,'base alimentar e commodities',?,N,AC,pequena
?,?,nogueira,frutiferas,?,NE,MA,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PB,pequena
irrigacao,'engenharia agricola',goiaba,frutiferas,?,NE,PB,pequena
'manejo nos cultivos',planta,melao,frutiferas,?,NE,MA,pequena
'irrigacao por aspersao','engenharia agricola',cebola,olericulturas,?,NE,PE,pequena
'manejo de poda',solo,uva,frutiferas,?,N,TO,pequena
irrigacao,planta,laranja,'base alimentar e commodities',?,NE,BA,pequena
irrigacao,planta,banana,frutiferas,?,SE,MG,pequena
adubacao,solo,mamona,extrativas,latossolo,N,PA,pequena
irrigacao,solo,?,?,?,NE,PE,pequena
irrigacao,'engenharia agricola',abacate,frutiferas,?,NE,MA,pequena
manejo,solo,soja,'base alimentar e commodities',?,CO,GO,pequena
irrigacao,solo,uva,frutiferas,?,NE,MA,pequena
irrigacao,planta,uva,frutiferas,?,NE,BA,pequena
'plantio direto',solo,milho,'base alimentar e commodities',argissolo,N,AC,pequena
irrigacao,planta,?,?,?,SE,RJ,pequena
irrigacao,'engenharia agricola',?,?,?,SE,MG,pequena
irrigacao,solo,?,?,?,NE,MA,pequena
'plantio direto','sistemas de producao',?,?,?,CO,MS,pequena
irrigacao,'engenharia agricola',?,?,?,SE,SP,pequena
irrigacao,'engenharia agricola',pimenta,olericulturas,?,N,AM,pequena
subsolagem,solo,soja,'base alimentar e commodities',?,NE,BA,pequena
'manejo de irrigacao',solo,abacaxi,frutiferas,?,NE,PB,pequena
manejo,solo,soja,'base alimentar e commodities',?,N,PA,pequena
manejo,solo,?,?,?,SE,MG,pequena
?,?,amendoim,extrativas,?,NE,BA,pequena
?,?,milho,'base alimentar e commodities',?,SE,MG,pequena
irrigacao,solo,?,?,?,NE,MA,pequena
manejo,solo,abacaxi,frutiferas,?,N,AC,pequena
irrigacao,planta,goiaba,frutiferas,?,NE,PE,pequena
irrigacao,'engenharia agricola',banana,frutiferas,?,SE,MG,pequena
irrigacao,solo,?,?,?,SE,MG,pequena
irrigacao,planta,manga,frutiferas,?,NE,BA,pequena
npk,solo,?,?,?,NE,BA,pequena
?,?,arroz,'base alimentar e commodities',?,SE,SP,pequena
adubacao,planta,soja,'base alimentar e commodities',latossolo,N,PA,pequena
irrigacao,planta,tomate,olericulturas,?,CO,DF,pequena
irrigacao,planta,laranja,'base alimentar e commodities',?,S,PR,pequena
adubacao,solo,?,?,?,NE,BA,pequena
?,?,melao,frutiferas,argissolo,N,PA,pequena
irrigacao,'engenharia agricola',arroz,'base alimentar e commodities',?,CO,MS,pequena
irrigacao,'engenharia agricola',?,?,?,SE,MG,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PE,pequena
irrigacao,planta,?,?,?,SE,MG,pequena
irrigacao,planta,mandioca,'base alimentar e commodities',?,SE,MG,pequena
'irrigacao por aspersao','engenharia agricola',cebola,olericulturas,?,NE,MA,pequena
irrigacao,solo,uva,frutiferas,?,SE,MG,pequena
'agricultura de precisao',geotecnologias,?,?,latossolo,NE,PE,pequena
adubacao,solo,?,?,?,SE,MG,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,NE,PE,pequena
irrigacao,planta,banana,frutiferas,?,NE,PE,pequena
adubacao,solo,uva,frutiferas,?,NE,BA,pequena
irrigacao,'engenharia agricola',?,?,?,SE,ES,pequena
irrigacao,planta,cana-de-acucar,'base alimentar e commodities',?,SE,MG,pequena
irrigacao,solo,goiaba,frutiferas,?,NE,PE,pequena
irrigacao,solo,tomate,olericulturas,?,SE,MG,pequena
irrigacao,'engenharia agricola',cana-de-acucar,'base alimentar e commodities',?,NE,PE,pequena
'diversidade genetica',?,?,?,?,SE,MG,pequena
irrigacao,'engenharia agricola',cafe,'base alimentar e commodities',?,NE,PB,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PB,pequena
adubacao,solo,?,?,?,NE,BA,pequena
adubacao,solo,milho,'base alimentar e commodities',?,NE,MA,pequena
'manejo ecologico','sistemas de producao',milho,'base alimentar e commodities',?,NE,MA,pequena
irrigacao,planta,cafe,'base alimentar e commodities',?,SE,MG,pequena
'manejo do ambiente',planta,pimentao,olericulturas,?,N,AM,pequena
manejo,solo,melao,frutiferas,?,N,TO,pequena
irrigacao,'engenharia agricola',banana,frutiferas,latossolo,NE,MA,pequena
irrigacao,'engenharia agricola',?,?,?,NE,CE,pequena
irrigacao,'engenharia agricola',?,?,?,SE,RJ,pequena
adubacao,planta,amendoim,extrativas,?,NE,PB,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,NE,PB,pequena
npk,planta,?,?,?,NE,BA,pequena
manejo,solo,manga,frutiferas,?,N,PA,pequena
'manejo de irrigacao',solo,?,?,?,SE,MG,pequena
irrigacao,'engenharia agricola',laranja,'base alimentar e commodities',?,CO,MT,pequena
irrigacao,planta,mamona,extrativas,?,NE,PE,pequena
irrigacao,planta,?,?,latossolo,NE,BA,pequena
irrigacao,'engenharia agricola',cana-de-acucar,'base alimentar e commodities',?,NE,MA,pequena
irrigacao,'engenharia agricola',abacate,frutiferas,?,NE,PE,pequena
secagem,'engenharia agricola',arroz,'base alimentar e commodities',?,SE,MG,pequena
'manejo do solo',?,milho,'base alimentar e commodities',?,NE,BA,pequena
'manejo do solo',?,feijao,'base alimentar e commodities',?,N,AC,pequena
irrigacao,'engenharia agricola',cafe,'base alimentar e commodities',?,SE,MG,pequena
irrigacao,planta,pimentao,olericulturas,?,N,RR,pequena
'plantio direto',solo,soja,'base alimentar e commodities',?,SE,MG,pequena
irrigacao,'engenharia agricola',tomate,olericulturas,?,SE,MG,pequena
?,?,trigo,'base alimentar e commodities',?,NE,SE,pequena
genotipo,'melhoramento genetico',feijao,'base alimentar e commodities',?,NE,BA,pequena
agrotoxico,'controle fitossanitario',uva,frutiferas,?,NE,MA,pequena
irrigacao,'engenharia agricola',banana,frutiferas,?,SE,MG,pequena
irrigacao,planta,?,?,?,SE,RJ,pequena
?,?,abacaxi,frutiferas,?,SE,MG,pequena
adubacao,solo,seringueira,extrativas,?,SE,MG,pequena
irrigacao,solo,?,?,?,SE,MG,pequena
irrigacao,planta,uva,frutiferas,?,SE,MG,pequena
adubacao,solo,nogueira,frutiferas,?,N,AC,pequena
