tecnologia,tecnologiaClasse,cultura,culturaClasse,solo,regiao,uf,escala
irrigacao,planta,arroz,'base alimentar e commodities',?,NE,PE,pequena
irrigacao,'engenharia agricola',arroz,'base alimentar e commodities',?,NE,PE,pequena
irrigacao,'engenharia agricola',arroz,'base alimentar e commodities',?,NE,PE,pequena
irrigacao,solo,arroz,'base alimentar e commodities',?,NE,MA,pequena
irrigacao,planta,arroz,'base alimentar e commodities',?,NE,MA,pequena
irrigacao,'engenharia agricola',arroz,'base alimentar e commodities',?,NE,MA,pequena
irrigacao,'engenharia agricola',arroz,'base alimentar e commodities',?,NE,MA,pequena
'manejo do solo',?,soja,'base alimentar e commodities',?,NE,BA,pequena
manejo,solo,soja,'base alimentar e commodities',?,NE,BA,pequena
'adubacao foliar',planta,soja,'base alimentar e commodities',?,NE,BA,pequena
adubacao,solo,soja,'base alimentar e commodities',?,NE,BA,pequena
adubacao,planta,soja,'base alimentar e commodities',?,NE,BA,pequena
manejo,solo,?,?,?,NE,PE,pequena
manejo,solo,?,?,?,NE,AL,pequena
irrigacao,planta,?,?,?,NE,BA,pequena
irrigacao,'engenharia agricola',?,?,?,NE,BA,pequena
irrigacao,'engenharia agricola',?,?,?,NE,BA,pequena
irrigacao,planta,manga,frutiferas,?,NE,BA,pequena
irrigacao,'engenharia agricola',manga,frutiferas,?,NE,BA,pequena
irrigacao,'engenharia agricola',manga,frutiferas,?,NE,BA,pequena
irrigacao,planta,arroz,'base alimentar e commodities',?,NE,PB,pequena
irrigacao,'engenharia agricola',arroz,'base alimentar e commodities',?,NE,PB,pequena
irrigacao,'engenharia agricola',arroz,'base alimentar e commodities',?,NE,PB,pequena
'irrigacao por inundacao','engenharia agricola',arroz,'base alimentar e commodities',?,NE,PB,pequena
'irrigacao por inundacao','engenharia agricola',arroz,'base alimentar e commodities',?,NE,PB,pequena
?,?,cana-de-acucar,'base alimentar e commodities',?,NE,PE,pequena
?,?,cana-de-acucar,'base alimentar e commodities',?,NE,MA,pequena
'manejo de poda',planta,uva,frutiferas,?,NE,PB,pequena
'manejo de poda',planta,uva,frutiferas,?,NE,PB,pequena
'manejo de poda',solo,uva,frutiferas,?,NE,PE,pequena
'manejo de poda',planta,uva,frutiferas,?,NE,PE,pequena
'manejo de poda',planta,uva,frutiferas,?,NE,PE,pequena
'manejo de poda',solo,uva,frutiferas,?,NE,MA,pequena
'manejo de poda',planta,uva,frutiferas,?,NE,MA,pequena
'manejo de poda',planta,uva,frutiferas,?,NE,MA,pequena
'manejo do solo',?,soja,'base alimentar e commodities',?,NE,BA,pequena
manejo,solo,soja,'base alimentar e commodities',?,NE,BA,pequena
'manejo de pragas e doencas',?,soja,'base alimentar e commodities',?,NE,BA,pequena
irrigacao,planta,limao,'base alimentar e commodities',?,NE,PI,pequena
irrigacao,'engenharia agricola',limao,'base alimentar e commodities',?,NE,PI,pequena
irrigacao,'engenharia agricola',limao,'base alimentar e commodities',?,NE,PI,pequena
manejo,solo,limao,'base alimentar e commodities',?,NE,PI,pequena
'manejo de irrigacao',solo,limao,'base alimentar e commodities',?,NE,PI,pequena
'manejo de irrigacao',solo,limao,'base alimentar e commodities',?,NE,PI,pequena
'manejo de irrigacao',planta,limao,'base alimentar e commodities',?,NE,PI,pequena
'manejo de irrigacao','engenharia agricola',limao,'base alimentar e commodities',?,NE,PI,pequena
irrigacao,planta,?,?,?,NE,CE,pequena
irrigacao,'engenharia agricola',?,?,?,NE,CE,pequena
irrigacao,'engenharia agricola',?,?,?,NE,CE,pequena
?,?,cana-de-acucar,'base alimentar e commodities',?,NE,BA,pequena
?,?,cana-de-acucar,'base alimentar e commodities',?,NE,MA,pequena
irrigacao,planta,milho,'base alimentar e commodities',?,NE,PI,pequena
irrigacao,'engenharia agricola',milho,'base alimentar e commodities',?,NE,PI,pequena
irrigacao,'engenharia agricola',milho,'base alimentar e commodities',?,NE,PI,pequena
irrigacao,planta,?,?,?,NE,PB,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PB,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PB,pequena
irrigacao,planta,?,?,?,NE,PE,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PE,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PE,pequena
adubacao,solo,?,?,?,NE,PE,pequena
adubacao,planta,?,?,?,NE,PE,pequena
irrigacao,planta,arroz,'base alimentar e commodities',?,NE,PB,pequena
irrigacao,'engenharia agricola',arroz,'base alimentar e commodities',?,NE,PB,pequena
irrigacao,'engenharia agricola',arroz,'base alimentar e commodities',?,NE,PB,pequena
irrigacao,solo,arroz,'base alimentar e commodities',?,NE,PE,pequena
irrigacao,planta,arroz,'base alimentar e commodities',?,NE,PE,pequena
irrigacao,'engenharia agricola',arroz,'base alimentar e commodities',?,NE,PE,pequena
irrigacao,'engenharia agricola',arroz,'base alimentar e commodities',?,NE,PE,pequena
irrigacao,solo,arroz,'base alimentar e commodities',?,NE,MA,pequena
irrigacao,planta,arroz,'base alimentar e commodities',?,NE,MA,pequena
irrigacao,'engenharia agricola',arroz,'base alimentar e commodities',?,NE,MA,pequena
irrigacao,'engenharia agricola',arroz,'base alimentar e commodities',?,NE,MA,pequena
genotipo,'melhoramento genetico',feijao,'base alimentar e commodities',?,NE,BA,pequena
agrotoxico,'controle fitossanitario',manga,frutiferas,?,NE,PE,pequena
agrotoxico,'controle fitossanitario',manga,frutiferas,?,NE,MA,pequena
manejo,solo,manga,frutiferas,?,NE,PB,pequena
manejo,solo,manga,frutiferas,?,NE,PE,pequena
manejo,solo,manga,frutiferas,?,NE,MA,pequena
manejo,solo,nogueira,frutiferas,?,NE,PE,pequena
irrigacao,planta,?,?,?,NE,PB,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PB,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PB,pequena
irrigacao,solo,?,?,?,NE,PE,pequena
irrigacao,planta,?,?,?,NE,PE,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PE,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PE,pequena
irrigacao,solo,?,?,?,NE,MA,pequena
irrigacao,planta,?,?,?,NE,MA,pequena
irrigacao,'engenharia agricola',?,?,?,NE,MA,pequena
irrigacao,'engenharia agricola',?,?,?,NE,MA,pequena
irrigacao,planta,?,?,?,NE,PB,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PB,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PB,pequena
irrigacao,solo,?,?,?,NE,PE,pequena
irrigacao,planta,?,?,?,NE,PE,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PE,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PE,pequena
irrigacao,solo,?,?,?,NE,MA,pequena
irrigacao,planta,?,?,?,NE,MA,pequena
irrigacao,'engenharia agricola',?,?,?,NE,MA,pequena
irrigacao,'engenharia agricola',?,?,?,NE,MA,pequena
?,?,soja,'base alimentar e commodities',?,NE,BA,pequena
?,?,nogueira,frutiferas,?,NE,BA,pequena
?,?,nogueira,frutiferas,?,NE,MA,pequena
?,?,melao,frutiferas,?,NE,PE,pequena
?,?,melao,frutiferas,?,NE,MA,pequena
'manejo do solo',?,?,?,?,NE,PI,pequena
'manejo do solo',?,?,?,?,NE,MA,pequena
manejo,solo,?,?,?,NE,BA,pequena
manejo,solo,?,?,?,NE,PI,pequena
manejo,solo,?,?,?,NE,MA,pequena
manejo,solo,mandioca,'base alimentar e commodities',?,NE,BA,pequena
irrigacao,planta,melancia,frutiferas,?,NE,PI,pequena
irrigacao,'engenharia agricola',melancia,frutiferas,?,NE,PI,pequena
irrigacao,'engenharia agricola',melancia,frutiferas,?,NE,PI,pequena
manejo,solo,melancia,frutiferas,?,NE,PI,pequena
'irrigacao por gotejamento','engenharia agricola',melancia,frutiferas,?,NE,PI,pequena
manejo,solo,?,?,?,NE,PI,pequena
manejo,solo,banana,frutiferas,?,NE,BA,pequena
manejo,solo,?,?,?,NE,MA,pequena
manejo,solo,banana,frutiferas,latossolo,NE,BA,pequena
manejo,solo,girassol,extrativas,latossolo,NE,BA,pequena
adubacao,planta,?,?,?,NE,BA,pequena
irrigacao,planta,feijao,'base alimentar e commodities',?,NE,BA,pequena
irrigacao,'engenharia agricola',feijao,'base alimentar e commodities',?,NE,BA,pequena
irrigacao,'engenharia agricola',feijao,'base alimentar e commodities',?,NE,BA,pequena
genotipo,'melhoramento genetico',feijao,'base alimentar e commodities',?,NE,BA,pequena
adubacao,solo,feijao,'base alimentar e commodities',?,NE,BA,pequena
adubacao,planta,feijao,'base alimentar e commodities',?,NE,BA,pequena
manejo,solo,nogueira,frutiferas,?,NE,BA,pequena
irrigacao,planta,manga,frutiferas,?,NE,PE,pequena
irrigacao,'engenharia agricola',manga,frutiferas,?,NE,PE,pequena
irrigacao,'engenharia agricola',manga,frutiferas,?,NE,PE,pequena
irrigacao,solo,?,?,?,NE,BA,pequena
irrigacao,planta,?,?,?,NE,BA,pequena
irrigacao,'engenharia agricola',?,?,?,NE,BA,pequena
irrigacao,'engenharia agricola',?,?,?,NE,BA,pequena
irrigacao,solo,?,?,?,NE,MA,pequena
irrigacao,planta,?,?,?,NE,MA,pequena
irrigacao,'engenharia agricola',?,?,?,NE,MA,pequena
irrigacao,'engenharia agricola',?,?,?,NE,MA,pequena
'resistencia genetica','melhoramento genetico',melancia,frutiferas,?,NE,BA,pequena
'resistencia genetica','melhoramento genetico',melancia,frutiferas,?,NE,MA,pequena
irrigacao,planta,banana,frutiferas,?,NE,BA,pequena
irrigacao,'engenharia agricola',banana,frutiferas,?,NE,BA,pequena
irrigacao,'engenharia agricola',banana,frutiferas,?,NE,BA,pequena
'adubacao organica',solo,banana,frutiferas,?,NE,BA,pequena
'adubacao organica',planta,banana,frutiferas,?,NE,BA,pequena
adubacao,solo,banana,frutiferas,?,NE,BA,pequena
adubacao,planta,banana,frutiferas,?,NE,BA,pequena
manejo,solo,nogueira,frutiferas,?,NE,PE,pequena
irrigacao,planta,manga,frutiferas,?,NE,PE,pequena
irrigacao,'engenharia agricola',manga,frutiferas,?,NE,PE,pequena
irrigacao,'engenharia agricola',manga,frutiferas,?,NE,PE,pequena
?,?,?,?,neossolo,NE,PI,pequena
?,?,?,?,neossolo,NE,MA,pequena
subsolagem,solo,feijao,'base alimentar e commodities',?,NE,BA,pequena
subsolagem,solo,algodao,'base alimentar e commodities',?,NE,BA,pequena
subsolagem,solo,soja,'base alimentar e commodities',?,NE,BA,pequena
'manejo do solo',?,milho,'base alimentar e commodities',?,NE,BA,pequena
'manejo do solo',?,feijao,'base alimentar e commodities',?,NE,BA,pequena
'manejo do solo',?,algodao,'base alimentar e commodities',?,NE,BA,pequena
'manejo do solo',?,soja,'base alimentar e commodities',?,NE,BA,pequena
manejo,solo,milho,'base alimentar e commodities',?,NE,BA,pequena
manejo,solo,feijao,'base alimentar e commodities',?,NE,BA,pequena
manejo,solo,algodao,'base alimentar e commodities',?,NE,BA,pequena
manejo,solo,soja,'base alimentar e commodities',?,NE,BA,pequena
irrigacao,planta,uva,frutiferas,?,NE,BA,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,NE,BA,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,NE,BA,pequena
manejo,solo,uva,frutiferas,?,NE,BA,pequena
'manejo de irrigacao',solo,uva,frutiferas,?,NE,BA,pequena
'manejo de irrigacao',solo,uva,frutiferas,?,NE,BA,pequena
'manejo de irrigacao',planta,uva,frutiferas,?,NE,BA,pequena
'manejo de irrigacao','engenharia agricola',uva,frutiferas,?,NE,BA,pequena
irrigacao,solo,uva,frutiferas,?,NE,BA,pequena
irrigacao,planta,uva,frutiferas,?,NE,BA,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,NE,BA,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,NE,BA,pequena
manejo,solo,uva,frutiferas,?,NE,BA,pequena
'irrigacao por aspersao','engenharia agricola',cebola,olericulturas,?,NE,PB,pequena
'irrigacao por aspersao','engenharia agricola',cebola,olericulturas,?,NE,PE,pequena
'irrigacao por aspersao','engenharia agricola',cebola,olericulturas,?,NE,PE,pequena
'irrigacao por aspersao','engenharia agricola',cebola,olericulturas,?,NE,MA,pequena
'irrigacao por aspersao','engenharia agricola',cebola,olericulturas,?,NE,MA,pequena
irrigacao,solo,cebola,olericulturas,?,NE,PB,pequena
irrigacao,planta,cebola,olericulturas,?,NE,PB,pequena
irrigacao,planta,tomate,olericulturas,?,NE,PB,pequena
irrigacao,'engenharia agricola',tomate,olericulturas,?,NE,PB,pequena
irrigacao,'engenharia agricola',tomate,olericulturas,?,NE,PB,pequena
irrigacao,solo,tomate,olericulturas,?,NE,PE,pequena
irrigacao,planta,tomate,olericulturas,?,NE,PE,pequena
irrigacao,'engenharia agricola',tomate,olericulturas,?,NE,PE,pequena
irrigacao,'engenharia agricola',tomate,olericulturas,?,NE,PE,pequena
irrigacao,solo,tomate,olericulturas,?,NE,MA,pequena
irrigacao,planta,tomate,olericulturas,?,NE,MA,pequena
irrigacao,'engenharia agricola',tomate,olericulturas,?,NE,MA,pequena
irrigacao,'engenharia agricola',tomate,olericulturas,?,NE,MA,pequena
irrigacao,planta,uva,frutiferas,?,NE,PB,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,NE,PB,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,NE,PB,pequena
irrigacao,solo,uva,frutiferas,?,NE,PE,pequena
irrigacao,planta,uva,frutiferas,?,NE,PE,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,NE,PE,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,NE,PE,pequena
irrigacao,solo,uva,frutiferas,?,NE,MA,pequena
irrigacao,planta,uva,frutiferas,?,NE,MA,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,NE,MA,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,NE,MA,pequena
manejo,solo,?,?,?,NE,MA,pequena
manejo,solo,manga,frutiferas,?,NE,BA,pequena
irrigacao,solo,?,?,?,NE,BA,pequena
irrigacao,planta,?,?,?,NE,BA,pequena
irrigacao,'engenharia agricola',?,?,?,NE,BA,pequena
irrigacao,'engenharia agricola',?,?,?,NE,BA,pequena
irrigacao,solo,?,?,?,NE,MA,pequena
irrigacao,planta,?,?,?,NE,MA,pequena
irrigacao,'engenharia agricola',?,?,?,NE,MA,pequena
irrigacao,'engenharia agricola',?,?,?,NE,MA,pequena
irrigacao,planta,manga,frutiferas,?,NE,PB,pequena
irrigacao,'engenharia agricola',manga,frutiferas,?,NE,PB,pequena
irrigacao,'engenharia agricola',manga,frutiferas,?,NE,PB,pequena
irrigacao,solo,manga,frutiferas,?,NE,PE,pequena
irrigacao,planta,manga,frutiferas,?,NE,PE,pequena
irrigacao,'engenharia agricola',manga,frutiferas,?,NE,PE,pequena
irrigacao,'engenharia agricola',manga,frutiferas,?,NE,PE,pequena
irrigacao,solo,manga,frutiferas,?,NE,MA,pequena
irrigacao,planta,manga,frutiferas,?,NE,MA,pequena
irrigacao,'engenharia agricola',manga,frutiferas,?,NE,MA,pequena
irrigacao,'engenharia agricola',manga,frutiferas,?,NE,MA,pequena
irrigacao,planta,?,?,?,NE,BA,pequena
irrigacao,'engenharia agricola',?,?,?,NE,BA,pequena
irrigacao,'engenharia agricola',?,?,?,NE,BA,pequena
irrigacao,planta,?,?,?,NE,PE,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PE,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PE,pequena
irrigacao,solo,?,?,?,NE,MA,pequena
irrigacao,planta,?,?,?,NE,MA,pequena
irrigacao,'engenharia agricola',?,?,?,NE,MA,pequena
irrigacao,'engenharia agricola',?,?,?,NE,MA,pequena
manejo,solo,?,?,?,NE,BA,pequena
irrigacao,planta,uva,frutiferas,?,NE,BA,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,NE,BA,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,NE,BA,pequena
'manejo da cultura',planta,girassol,extrativas,?,NE,BA,pequena
manejo,solo,?,?,?,NE,BA,pequena
adubacao,solo,?,?,?,NE,BA,pequena
adubacao,planta,?,?,?,NE,BA,pequena
adubacao,planta,?,?,?,NE,PB,pequena
adubacao,solo,?,?,?,NE,PE,pequena
adubacao,planta,?,?,?,NE,PE,pequena
adubacao,solo,?,?,?,NE,MA,pequena
adubacao,planta,?,?,?,NE,MA,pequena
genotipo,'melhoramento genetico',feijao,'base alimentar e commodities',?,NE,BA,pequena
irrigacao,solo,arroz,'base alimentar e commodities',?,NE,BA,pequena
irrigacao,planta,arroz,'base alimentar e commodities',?,NE,BA,pequena
irrigacao,'engenharia agricola',arroz,'base alimentar e commodities',?,NE,BA,pequena
irrigacao,'engenharia agricola',arroz,'base alimentar e commodities',?,NE,BA,pequena
irrigacao,solo,arroz,'base alimentar e commodities',?,NE,MA,pequena
irrigacao,planta,arroz,'base alimentar e commodities',?,NE,MA,pequena
irrigacao,'engenharia agricola',arroz,'base alimentar e commodities',?,NE,MA,pequena
irrigacao,'engenharia agricola',arroz,'base alimentar e commodities',?,NE,MA,pequena
?,?,cana-de-acucar,'base alimentar e commodities',?,NE,BA,pequena
npk,solo,?,?,?,NE,PB,pequena
npk,planta,?,?,?,NE,PB,pequena
irrigacao,planta,feijao,'base alimentar e commodities',?,NE,BA,pequena
irrigacao,'engenharia agricola',feijao,'base alimentar e commodities',?,NE,BA,pequena
irrigacao,'engenharia agricola',feijao,'base alimentar e commodities',?,NE,BA,pequena
manejo,solo,feijao,'base alimentar e commodities',?,NE,BA,pequena
genotipo,'melhoramento genetico',feijao,'base alimentar e commodities',?,NE,BA,pequena
irrigacao,solo,abacaxi,frutiferas,?,NE,BA,pequena
irrigacao,planta,abacaxi,frutiferas,?,NE,BA,pequena
irrigacao,'engenharia agricola',abacaxi,frutiferas,?,NE,BA,pequena
irrigacao,'engenharia agricola',abacaxi,frutiferas,?,NE,BA,pequena
irrigacao,solo,abacaxi,frutiferas,?,NE,MA,pequena
irrigacao,planta,abacaxi,frutiferas,?,NE,MA,pequena
irrigacao,'engenharia agricola',abacaxi,frutiferas,?,NE,MA,pequena
irrigacao,'engenharia agricola',abacaxi,frutiferas,?,NE,MA,pequena
irrigacao,planta,maca,frutiferas,?,NE,BA,pequena
irrigacao,'engenharia agricola',maca,frutiferas,?,NE,BA,pequena
irrigacao,'engenharia agricola',maca,frutiferas,?,NE,BA,pequena
adubacao,solo,maca,frutiferas,?,NE,BA,pequena
adubacao,planta,maca,frutiferas,?,NE,BA,pequena
manejo,solo,banana,frutiferas,?,NE,PE,pequena
manejo,solo,banana,frutiferas,?,NE,MA,pequena
irrigacao,planta,?,?,?,NE,CE,pequena
irrigacao,'engenharia agricola',?,?,?,NE,CE,pequena
irrigacao,'engenharia agricola',?,?,?,NE,CE,pequena
manejo,solo,manga,frutiferas,?,NE,BA,pequena
'melhoramento genetico','melhoramento genetico',feijao,'base alimentar e commodities',?,NE,PE,pequena
'melhoramento genetico','melhoramento genetico',feijao,'base alimentar e commodities',?,NE,MA,pequena
irrigacao,solo,feijao,'base alimentar e commodities',?,NE,PB,pequena
irrigacao,planta,feijao,'base alimentar e commodities',?,NE,PB,pequena
irrigacao,'engenharia agricola',feijao,'base alimentar e commodities',?,NE,PB,pequena
irrigacao,'engenharia agricola',feijao,'base alimentar e commodities',?,NE,PB,pequena
irrigacao,solo,feijao,'base alimentar e commodities',?,NE,PE,pequena
irrigacao,planta,feijao,'base alimentar e commodities',?,NE,PE,pequena
irrigacao,'engenharia agricola',feijao,'base alimentar e commodities',?,NE,PE,pequena
irrigacao,'engenharia agricola',feijao,'base alimentar e commodities',?,NE,PE,pequena
irrigacao,solo,feijao,'base alimentar e commodities',?,NE,MA,pequena
irrigacao,solo,uva,frutiferas,?,NE,BA,pequena
irrigacao,planta,uva,frutiferas,?,NE,BA,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,NE,BA,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,NE,BA,pequena
manejo,solo,uva,frutiferas,?,NE,BA,pequena
irrigacao,planta,abacaxi,frutiferas,?,NE,PB,pequena
irrigacao,'engenharia agricola',abacaxi,frutiferas,?,NE,PB,pequena
irrigacao,'engenharia agricola',abacaxi,frutiferas,?,NE,PB,pequena
manejo,solo,abacaxi,frutiferas,?,NE,PB,pequena
'manejo de irrigacao',solo,abacaxi,frutiferas,?,NE,PB,pequena
'manejo de irrigacao',solo,abacaxi,frutiferas,?,NE,PB,pequena
'manejo de irrigacao',planta,abacaxi,frutiferas,?,NE,PB,pequena
'manejo de irrigacao','engenharia agricola',abacaxi,frutiferas,?,NE,PB,pequena
'plantio direto',solo,soja,'base alimentar e commodities',?,NE,BA,pequena
'plantio direto','sistemas de producao',soja,'base alimentar e commodities',?,NE,BA,pequena
manejo,solo,soja,'base alimentar e commodities',?,NE,BA,pequena
adubacao,solo,soja,'base alimentar e commodities',?,NE,BA,pequena
adubacao,planta,soja,'base alimentar e commodities',?,NE,BA,pequena
irrigacao,solo,mandioca,'base alimentar e commodities',?,NE,PE,pequena
irrigacao,planta,mandioca,'base alimentar e commodities',?,NE,PE,pequena
irrigacao,'engenharia agricola',mandioca,'base alimentar e commodities',?,NE,PE,pequena
irrigacao,'engenharia agricola',mandioca,'base alimentar e commodities',?,NE,PE,pequena
irrigacao,solo,mandioca,'base alimentar e commodities',?,NE,RN,pequena
irrigacao,planta,mandioca,'base alimentar e commodities',?,NE,RN,pequena
irrigacao,'engenharia agricola',mandioca,'base alimentar e commodities',?,NE,RN,pequena
irrigacao,'engenharia agricola',mandioca,'base alimentar e commodities',?,NE,RN,pequena
irrigacao,planta,uva,frutiferas,?,NE,BA,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,NE,BA,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,NE,BA,pequena
manejo,solo,uva,frutiferas,?,NE,BA,pequena
'manejo de irrigacao',solo,uva,frutiferas,?,NE,BA,pequena
'manejo de irrigacao',solo,uva,frutiferas,?,NE,BA,pequena
'manejo de irrigacao',planta,uva,frutiferas,?,NE,BA,pequena
'manejo de irrigacao','engenharia agricola',uva,frutiferas,?,NE,BA,pequena
irrigacao,planta,?,?,?,NE,PB,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PB,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PB,pequena
irrigacao,solo,?,?,?,NE,PE,pequena
irrigacao,planta,?,?,?,NE,PE,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PE,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PE,pequena
irrigacao,solo,?,?,?,NE,MA,pequena
irrigacao,planta,?,?,?,NE,MA,pequena
irrigacao,'engenharia agricola',?,?,?,NE,MA,pequena
irrigacao,'engenharia agricola',?,?,?,NE,MA,pequena
irrigacao,planta,melancia,frutiferas,?,NE,PB,pequena
irrigacao,'engenharia agricola',melancia,frutiferas,?,NE,PB,pequena
irrigacao,'engenharia agricola',melancia,frutiferas,?,NE,PB,pequena
irrigacao,solo,melancia,frutiferas,?,NE,PE,pequena
irrigacao,planta,melancia,frutiferas,?,NE,PE,pequena
irrigacao,'engenharia agricola',melancia,frutiferas,?,NE,PE,pequena
irrigacao,'engenharia agricola',melancia,frutiferas,?,NE,PE,pequena
irrigacao,solo,melancia,frutiferas,?,NE,MA,pequena
irrigacao,planta,melancia,frutiferas,?,NE,MA,pequena
irrigacao,'engenharia agricola',melancia,frutiferas,?,NE,MA,pequena
irrigacao,'engenharia agricola',melancia,frutiferas,?,NE,MA,pequena
'melhoramento genetico','melhoramento genetico',milho,'base alimentar e commodities',?,NE,BA,pequena
'melhoramento genetico','melhoramento genetico',milho,'base alimentar e commodities',?,NE,MA,pequena
manejo,solo,?,?,?,NE,BA,pequena
manejo,solo,mandioca,'base alimentar e commodities',?,NE,BA,pequena
agrotoxico,'controle fitossanitario',manga,frutiferas,?,NE,PE,pequena
agrotoxico,'controle fitossanitario',manga,frutiferas,?,NE,MA,pequena
manejo,solo,manga,frutiferas,?,NE,PB,pequena
manejo,solo,manga,frutiferas,?,NE,PE,pequena
manejo,solo,manga,frutiferas,?,NE,MA,pequena
irrigacao,solo,goiaba,frutiferas,?,NE,PB,pequena
irrigacao,planta,goiaba,frutiferas,?,NE,PB,pequena
irrigacao,planta,goiaba,frutiferas,?,NE,PB,pequena
irrigacao,'engenharia agricola',goiaba,frutiferas,?,NE,PB,pequena
irrigacao,'engenharia agricola',goiaba,frutiferas,?,NE,PB,pequena
irrigacao,'engenharia agricola',goiaba,frutiferas,?,NE,PB,pequena
irrigacao,'engenharia agricola',goiaba,frutiferas,?,NE,PB,pequena
